Neuron_type,Modality,Neurotransmitter,Ciliated,Pharyngeal,Nb_Processes,Process_Position,Branching,Sexual_dimorphism,Mechanosensation,Gentle_Touch,Harsh_Touch,Nociception,Proprioception,Chemosensation,Thermosensation,Photosensation,Electrosensation,Texture,Oxygen_sensory,CO2_sensory,Odorsensation,Pheromone_sensory,Magnetic_Field,Humidity,Osmosensation,Dauer_Entry
RMF,motor,ACh,No,no,1,,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMG,"motor,interneuron",unknown,No,no,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMH,motor,ACh,No,no,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA,"motor,interneuron",ACh,No,no,2,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAB,motor,ACh,No,no,2,,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDQ,"sensory,interneuron",ACh,No,no,1,DS,0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SIA,"motor,interneuron",ACh,No,no,1,DS/VS,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIB,"motor,interneuron",ACh,No,no,1,DS/VS,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMB,motor,ACh,No,no,1,DS/VS,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMD,motor,ACh,No,no,1,DS/VS,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URA,motor,ACh,No,no,2,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URB,sensory,ACh,No,no,2,,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URX,"sensory,interneuron",ACh,No,no,2,,1,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
URY,sensory,glu,No,no,2,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,motor,ACh,No,no,2,VNC,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA12,motor,ACh,No,no,2,VNC,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB02,"sensory,motor",ACh,No,no,2,VNC,0,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,"sensory,motor",ACh,No,no,2,VNC,0,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VB01,"sensory,motor",ACh,No,no,,,,,,,,,,,,,,,,,,,,,,
VC,motor,"ACh,5HT",No,no,2,VNC,0,hermaphrodite_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC_4_5,motor,"ACh,5HT",No,no,1,,2,hermaphrodite_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VD_DD,motor,GABA,No,no,2,VNC/DNC,2,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
